listing_id,agent_email,listed_date,neighbourhood,property_type,area_sqft,bedrooms,bathrooms,year_built,epc_rating,condition_rating,distance_to_station_km,sale_price
LST-00001,agent25@example-estates.com,2023-12-25,Riverside,terraced,941,2,1,1992,D,5.0,0.1,314500
LST-00002,agent29@example-estates.com,2024-04-15,Riverside,terraced,865,3,2,1967,F,1.0,0.46,211600
LST-00003,agent29@example-estates.com,2023-03-20,Eastfield,flat,562,1,1,1911,D,5.0,1.46,85000
LST-00004,agent17@example-estates.com,2023-11-02,Parkview,flat,633,1,1,1964,E,4.0,3.21,116900
LST-00005,agent6@example-estates.com,2024-09-14,Eastfield,terraced,1201,2,1,1929,D,4.0,0.42,178800
LST-00006,agent4@example-estates.com,2023-12-03,Meadowbank,detached,1853,4,2,1987,C,4.0,2.92,455700
LST-00007,agent6@example-estates.com,2024-05-03,Old Town,flat,608,1,1,1902,F,1.0,0.84,89900
LST-00008,agent15@example-estates.com,2023-03-03,Northgate,flat,518,2,1,2018,F,,0.5,95000
LST-00009,agent6@example-estates.com,2023-04-09,Parkview,terraced,1044,2,1,2007,E,1.0,1.61,197200
LST-00010,agent6@example-estates.com,2024-02-03,Docklands,terraced,911,2,2,2002,C,4.0,1.31,131500
LST-00011,agent18@example-estates.com,2024-08-08,Meadowbank,semi-detached,1449,4,2,1911,D,3.0,1.17,290400
LST-00012,agent2@example-estates.com,2024-08-13,Parkview,flat,567,1,1,1981,C,2.0,2.11,159800
LST-00013,agent25@example-estates.com,2023-06-22,Meadowbank,terraced,1123,3,2,1989,C,2.0,1.44,199500
LST-00014,agent12@example-estates.com,2024-09-20,Meadowbank,detached,1841,5,3,1918,B,5.0,3.43,417600
LST-00015,agent7@example-estates.com,2024-02-25,Meadowbank,flat,718,2,1,1907,E,2.0,1.9,98700
LST-00016,agent25@example-estates.com,2024-11-22,Meadowbank,flat,810,1,1,1942,C,4.0,0.66,115700
LST-00017,agent28@example-estates.com,2024-06-06,Parkview,detached,1305,3,1,1919,D,,0.55,233000
LST-00018,agent7@example-estates.com,2024-09-02,Northgate,terraced,961,2,1,1903,E,4.0,5.23,94500
